review,sentiment,clean_review
Bagus,positif,bagus
"Saya baru instal lagi x ini, mau login eh ""memuat"" udh ditunggu beberapa menit malah ""ada kesalahan teknis"" terus! Padahal koneksi lancar pakai wifi juga tetep aja ""ada kesalahan teknis"". Gimana mau main aplikasinya, login aja gabisa.",negatif,instal x login eh muat udh tunggu menit salah teknis koneksi lancar pakai wifi tetep aja salah teknis gimana main aplikasi login aja gabisa
Kalo buka link suka eror,negatif,kalo buka link suka eror
"ga bisa login padahal jaringan bagus, stuck di situ situ aja",negatif,ga login jaring bagus stuck situ situ aja
"aplikasi gajelas lemot banget, padahal di aplikasi lain lancar² aja ga lemot",negatif,aplikasi gajelas lot banget aplikasi lancar aja ga lot
ini kenapa ya?? kok saya gabisa login malah memuat terus. tolong benerin bugnya dong.,negatif,ya gabisa login muat tolong benerin bugnya
Mengapa saya memberi bintang 1 karena aku tidak melakukan apa apa TPI akun saya ke blokir saay tidak setuju,negatif,bintang tpi akun blokir saay tuju
Sangat keren,positif,keren
oke,positif,oke
Ok,positif,ok
Twitter kenapa sekarang gak bisa dibuka yaa? padahal jaringan wifi ama data bagus gak lemot gak apa,negatif,twitter gak buka yaa jaring wifi ama data bagus gak lot gak
Eror mulu aneh,negatif,eror mulu aneh
"buka aplikasinya muter' terus tapi giliran buka apk yg lain lancar saja, tolong segera diperbaiki min udah sering terjadi seperti ini saya setiap buka twitter selalu muter' bahkan ga muncul apa' giliran buka yg lain lancar jasa. tolong segera diperbaiki ya min.",negatif,buka aplikasi muter gilir buka apk yg lancar tolong baik min udah buka twitter muter ga muncul gilir buka yg lancar jasa tolong baik ya min
Kok uda di abdet jadi lemot ya min?,netral,uda abdet lot ya min
Gak bisa login Banyak masalah,negatif,gak login
ini lagi error atau kenapa? aku udah coba buka x yang web terus ke aplikasi tetep ga bisa di buka,netral,error udah coba buka x web aplikasi tetep ga buka
"terlalu banyak affiliator, banyak iklan, orang2nya kasar.",negatif,affiliator iklan orang kasar
"Ini tolong di perbaiki lagi bug nya ya, ngelag parahh",negatif,tolong baik bug nya ya ngelag parahh
sumpah berat banget bukanya,negatif,sumpah berat banget buka
"tidak bisa masuk saya udah pencet tombol masuk tapi malah muncul kesalahan teknis trus padahal sudah punya akun, tolong di perbaiki lagi",negatif,masuk udah pencet tombol masuk muncul salah teknis trus akun tolong baik
Mantap,positif,mantap
knp say GK bisa masuk ke akun saya mohon ini knp ya,negatif,knp say gk masuk akun mohon knp ya
Tidak bisa masuk dan semua email terdaftar tanpa ada nama pengguna,negatif,masuk email daftar nama guna
"Aplikasi dongok, makin kesini makin rusak. mas melon mas melon",negatif,aplikasi dongok kesini rusak mas melon mas melon
Okey,positif,okey
"Lemot banget, padahal internet lancar lancar aja",netral,lot banget internet lancar lancar aja
Aneh. Kadang postingan gbisa dimuat padahal jaringan bagus.,negatif,aneh kadang postingan gbisa muat jaring bagus
Banyak bgt bug nya,negatif,bgt bug nya
"Twt lagi eror kah? Udah versi paling baru tapi gabisa muat berita baru, gabisa ngetwit, gabisa ngesearch",positif,twt eror kah udah versi gabisa muat berita gabisa ngetwit gabisa ngesearch
Suka keluar sendiri,negatif,suka
nice,positif,nice
sangat keren,positif,keren
Tombol report knp ilang semua ?,negatif,tombol report knp ilang
aplikasi bodoh,negatif,aplikasi bodoh
setelah diupdate gak bisa upload foto 👊,negatif,diupdate gak upload foto 
apk goblokkk mau masukk aja di persulitttttt,negatif,apk goblokkk masukk aja persulitttttt
Makin jelek nih aplikasi,negatif,jelek nih aplikasi
kenapa ya orang lain posting bermacam2 masa punya saya ko di tanggung,negatif,ya orang posting ko tanggung
"Semakin parah ini apk x nya,,,kadang keluar sendri dan pas masuk lagi gak bisa kebuka,,,gmn ini gila parah banget memori cepat penuh jaringannya lelet bgt,,,",negatif,parah apk x nyakadang sendri pas masuk gak kebukagmn gila parah banget memori cepat penuh jaring lelet bgt
Kurang sip tuwiter yg baru ini,netral,sip tuwiter yg
Jadi aneh ni apk sinya lancar tapi lag,negatif,aneh ni apk sinya lancar lag
mantapp apknya baguss,positif,mantapp apknya baguss
"Aplikasi sampah, banyak bug",negatif,aplikasi sampah bug
"Suka tiba2 logout, tiba2 ngga bisa fresh",netral,suka logout ngga fresh
Lemot kali,negatif,lot kali
"Loading muter muter doang ,padahal koneksi internet lancar",negatif,loading muter muter doang koneksi internet lancar
Lemot ajig beres di-update teh..,negatif,lot ajig beres diupdate teh
Gaje banget tiba tiba loading lama padahal wifi lancar udh coba hidup matiin ttp gabisa dibuka loading terus padahal gadiapa apain.,negatif,gaje banget loading wifi lancar udh coba hidup matiin ttp gabisa buka loading gadiapa apain
ini aplikasi aneh kadang lancar kadang gamau muncul sama sekali,negatif,aplikasi aneh kadang lancar kadang gamau muncul
"Selalu ""tidak bisa memuat postingan saat ini"". Apa sih? Lama2 X udh gk ada yg make klau gini mulu",negatif,muat postingan sih x udh gk yg make klau gin mulu
Kok saya mau login akun saya kok lama banget ya memuat nya padahal koneksi internet saya bagus banget,negatif,login akun banget ya muat nya koneksi internet bagus banget
"bagus ,tapi tolong filter lagi di seo nya bagian search masih terdapat konten gak senonoh",positif,bagus tolong filter seo nya search konten gak senonoh
Ok,positif,ok
Bagus sekali,positif,bagus
Bagus,positif,bagus
Masih terlalu banyak pesan kadaluarsa atau telah lewat beberapa hari yang masuk,netral,pesan kadaluarsa masuk
Terimakasih gogel plestore,negatif,terimakasih gogel plestore
Saya mencoba mendaftarkan diri dan juga masuk k akses ini tak satupun bisa masuk,negatif,coba daftar masuk k akses satu masuk
Cuma pengen download aja dan gak terlalu buka ni app,positif,ken download aja gak buka ni app
"UI kacau, banyak update yg gak perlu dan merugikan konsumen",negatif,ui kacau update yg gak rugi konsumen
Kerenn,negatif,kerenn
Ko ada film dewasa nya sya kaget dan sya melihat nya😑🥱,positif,ko film dewasa nya sya kaget sya nya
Semua informasi Ter update ada disini...,positif,informasi ter update
Udah ngetik tweet panjang tapi kok pas di upload gak keunggah? Gak ada tweetnya di beranda capek-capek ngetik.,negatif,udah ngetik tweet pas upload gak unggah gak tweetnya beranda capekcapek ngetik
Kenapa akun Twitter saya bernama Moco Dairy di Twitter tiba tiba dikeluarkan dari Twitter pihak??? Saya ingin login kembali tapi password benar dikatain salah oleh pihak kalian,negatif,akun twitter nama moco dairy twitter keluar twitter login password dikatain salah
Informatif..aktual & faktual,positif,informatifaktual faktual
"Menurut saya, Aplikasi ini sangat membantu mencari informasi yang lebih detail, semacam hoax, berita, dan lain lain nya. Saya beri rate 4 untuk Aplikasi ini",positif,aplikasi bantu cari informasi detail hoax berita nya rate aplikasi
"sedikit penjelasan mengenai bug di aplikasi ini, ini terjadi karena koneksi internet kalian yang tidak stabil dan karena spesifikasi handphone kalian yang tidak memadai.",positif,jelas bug aplikasi koneksi internet stabil spesifikasi handphone pada
"Kok malah ribet bgt sekrang,,,masuk aja error' terus",negatif,ribet bgt sekrangmasuk aja error
makasih banget udh ngasi pengalaman bersosmed yg tak terlupakan,positif,makasih banget udh ngasi alam bersosmed yg lupa
Mohon bantuan karna akun saya gak bisa d buka mohon bantuan nya,negatif,mohon bantu karna akun gak d buka mohon bantu nya
"Terjemahan text postingan gagal terus, lagi scroll direfresh otomatis terus emg ni app tolol",negatif,terjemah text postingan gagal scroll direfresh otomatis emg ni app tolol
Impulsive-based development. So lame. (but still using it),negatif,impulsivebased development so lame but still using it
Ok,positif,ok
Top,positif,top
"Tiba tiba akun di tangguhkan, ngga jelas cuma posting ulang padahal ngikuti yang sudah ada",negatif,akun tangguh ngga posting ulang ngikuti
Bagus,positif,bagus
yuhuuuu,positif,yuhuuuu
Makin lemot banget,negatif,lot banget
Berikan yang terbaik,positif,baik
Keren,positif,keren
Nice,positif,nice
Bagus,positif,bagus
Ok,positif,ok
enak aja apk nya😁,positif,enak aja apk nya
Mantap sekali cuma untuk premium nya itu cobalah dikasih sedikit promosi percobaan.,positif,mantap premium nya coba kasih promosi coba
Sering terjadi nya kesalahan,negatif,nya salah
mantap,positif,mantap
"kalo nyari sesuatu yang viral tuh susah amat nyari nyah , walau pun kata kunci nyabener juga ga akurat yag datang",negatif,kalo nyari viral tuh susah nyari nyah kunci nyabener ga akurat yag
Akun aku malah disuspend..gajelas bgt Emang sekarang X,negatif,akun disuspendgajelas bgt emang x
suka,positif,suka
Wawwww,positif,wawwww
Mantap,positif,mantap
Ribet amat twiter sekarang apk burik,negatif,ribet twiter apk burik
Error',negatif,error
Gak bisa login ketika mau login ke akun yang benar malah terjadi kesalahan kalo ada rate minus pun bakal gwe rate -100,negatif,gak login login akun salah kalo rate minus gwe rate
"sering nge error sendiri, lagi nge scroll tiba2 keluar dari akun.",negatif,nge error nge scroll akun
Tapi sering nge lag,positif,nge lag
"Udah lama gak main x, dulu bikin akun cuma buat nonton bok3p, sekarang buat nyari gambar illustrasi",positif,udah gak main x bikin akun nonton bokp nyari gambar illustrasi
"aplikasi buruk, lagi kontes turtle tiba tiba lemot",negatif,aplikasi buruk kontes turtle lot
buat admin X gw mau tanya kalian kerja atau ga sih akun aku di tangguhkan udh 6x lebih ajukan banding nunggu sebulan lebih jangankan di proses ngasi info aja tidak. kasi info lah mau di proses ato tidak alasan nya kenapa biar jelas jgn diem aja seperti g kerja klo g mau di proses ywdh kasi tau biar gw unistal nie aplikasi klo di proses ywdh kasi kabar butuh brp lama mesti nunggu.,negatif,admin x gw kerja ga sih akun tangguh udh x aju banding nunggu bulan proses ngasi info aja kasi info proses ato alas nya biar jgn diem aja g kerja klo g proses ywdh kasi tau biar gw unistal nie aplikasi klo proses ywdh kasi kabar butuh brp mesti nunggu
"Ko gabisa daftar sih, eror mulu",netral,ko gabisa daftar sih eror mulu
tiba tiba aplikasi ini berhenti berfungsi di perangkat saya,negatif,aplikasi henti fungsi perangkat
Twitter jadi aneh pas di pegang oleh Elon musk,negatif,twitter aneh pas pegang elon musk
Good aplication,positif,good aplication
"Fitur pencarian tidak memuaskan, setiap ingin mencari sesuatu, yang muncul adalah postingan yang terkait dengan kata kunci yang saya ketik, sangat tidak spesifik dengan apa yang ingin dicari karena saya tidak bisa mendapatkan kategori yang saya cari",negatif,fitur cari muas cari muncul postingan kait kunci ketik spesifik cari kategori cari
"SCROLL REFRESH SAMPAH...!! GAK BISA BACA THREAD PANJANG, PASTI BALIK KE AWAL LAGI... MENDING ELON BALIK AJA MAIN MOBIL, JANGAN MAIN TWITTER...",negatif,scroll refresh sampah gak baca thread mending elon aja main mobil main twitter
Tidak salah apa apa tapi akun ditangguhkan tolong di perbaiki,negatif,salah akun tangguh tolong baik
Edan. Baru bikin akun langsung di banned padahal udh verifikasi email dll. Makin g jelas X .,negatif,edan bikin akun langsung banned udh verifikasi email dll g x
Asal twitet sekarang X semakin canggijh aman terpercaya,positif,twitet x canggijh aman percaya
"Bagus sih, kalo bisa tambahin pake suara, kaya aplikasi sebelah",positif,bagus sih kalo tambahin pake suara kaya aplikasi belah
Bad very very bed semejak dialihkan kepemilikan Twiter sering akun ini terblok sendri Hapus aja dari Playstore 😡😡😡😡,negatif,bad very very bed semejak alih milik twiter akun blok sendri hapus aja playstore 
lemot bgt. APAAN AKUN X BUAT LIAT KOMUN BONEKA DOANG TBTB KENA SUSPEND,negatif,lot bgt akun x liat komun boneka doang tbtb kena suspend
Aplikasinya makin aneh,negatif,aplikasi aneh
"Ini pas saya mau login susah banget, banyak bugnya lagi pas download juga susah bat. Tolong ini bugnya di perbaiki ya min....",negatif,pas login susah banget bugnya pas download susah bat tolong bugnya baik ya min
B aja,negatif,b aja
Makin bobrok abis dibeli ama musk,negatif,bobrok abis beli ama musk
"hapus aja nih aplikasi, login akun gada punya problem apapun malah di tangguhkan",negatif,hapus aja nih aplikasi login akun gada problem apa tangguh
Makin gaje,negatif,gaje
Ganti foto profil doang lamanya minta ampun,negatif,ganti foto profil doang ampun
"kemaren acc X ke banned sendiri masih bisa sabar. pas udah ada acc baru malah gabisa login dan tulisannya ""eror saat login, silahkan coba lagi."" giliran mau buat acc baru, juga gabisa. kenapa sih susah banget buat login/buat acc baru, apa yang eror coba? udah uninstal berkali-kali tetep eror, ditunggu berhari-hari masih juga eror. tolong diperbaikin dong sistem loginnya biar gampang",negatif,kemaren acc x banned sabar pas udah acc gabisa login tulis eror login silah coba gilir acc gabisa sih susah banget loginbuat acc eror coba udah uninstal berkalikali tetep eror tunggu berharihari eror tolong diperbaikin sistem loginnya biar gampang
Mudah,positif,mudah
good,positif,good
Gak bisa masuk aplikasi nya bjir,negatif,gak masuk aplikasi nya bjir
Nice,positif,nice
Okayyy,positif,okayyy
bug terus,negatif,bug
Kok akun nya gak bisa di bikin udah bikin berkali kali loh padahal.pas di bikin akun nya malah kembali lagi ke buat akun .plisss kasih tau cara buat akun nya 😭😭,negatif,akun nya gak bikin udah bikin kali kali loh padahalpas bikin akun nya akun plisss kasih tau akun nya 
"Keren, bebas, komplit dan mendapatkan informasi yg update..",positif,keren bebas komplit informasi yg update
good,positif,good
Sugoiii,positif,sugoiii
aneh Twitter nya ngga bisa login lagi banyak bug nya pas scrol tiba tiba keluar ( ngga ada kodee verifikasi nyaaa tolongg kode sayaaa apaaaaaaaaaaa ) TRIms 💋✨🗿,negatif,aneh twitter nya ngga login bug nya pas scrol ngga kodee verifikasi nyaaa tolongg kode sayaaa apaaaaaaaaaaa trims 
"Gw gak ngerti lg sm Twitter yg berganti nama jadi X ini. Gw buka akun selalu ditangguhkan padahal 4x gw bikin akun yg baru. Log in selalu begitu.. Banyak bug nya.. Kadang ada tulisannya ""tenang, ini bukan kesalahan anda"". Bukan kesalahan sy knp akun ditangguhkan terus?????? Jadi susah dan gak guna sosmed ini..",negatif,gw gak ngerti lg sm twitter yg ganti nama x gw buka akun tangguh x gw bikin akun yg log in bug nya kadang tulis tenang salah salah sy knp akun tangguh susah gak sosmed
"tolong untuk blokir semua akun yang menyebarkan konten pornografi, itu sangat mengganggu",negatif,tolong blokir akun sebar konten pornografi ganggu
Sanggatt bagusss,positif,sanggatt bagusss
lemot bangettt TT,negatif,lot bangettt tt
"ga jelas banget anjir, jaringan bagus dan punya kuota tapi markah ga bisa dibuka, ga bisa ngelike karena TAMPILAN LIKE SAMA KOMEN JUGA ILANG SAAT DIPENCET TWEET NYA KEK APA SIH ANEH PAKE WIFI JUGA SAMA AJA",negatif,ga banget anjir jaring bagus kuota markah ga buka ga ngelike tampil like komen ilang pencet tweet nya kek sih aneh pake wifi aja
Buffering. Stuck,negatif,buffering stuck
bagus cuma kadang tuh akun nya keluar sendiri trus harus login lagi,positif,bagus kadang tuh akun nya trus login
"asli da akun gw yang buat scroll scroll doang ditangguhkan mulu, itu orng orng yang komen rasis akunnya pada aman aman aja aneh bnget, mana baru beli premuim kemarin bnget cuuuu. tidak ramah bintang 1 .",negatif,asli da akun gw scroll scroll doang tangguh mulu orng orng komen ras akun aman aman aja aneh bnget beli premuim kemarin bnget cuuuu ramah bintang
Bagus,positif,bagus
I like it 👏,positif,i like it 
Medsos kebebasan,positif,medsos bebas
Enjoy,positif,enjoy
"Aplikasi yang bagus, liat berita2 dalam negeri dan mancanegara",positif,aplikasi bagus liat berita negeri mancanegara
saya baru mencoba apk ini,netral,coba apk
"X,kenapa semua akun saya di Tangguhkan 😭😭 Saya ga pernah memposting hal-hal vulgar,salah,sara,atau lainnya. Terus tiba-tiba aku saya yang pertama di Tangguhkan,yang kedua di Tangguhkan,dan yang ketiga di Tangguhkan. Saya punya dosa appaaaa😭😭",negatif,xkenapa akun tangguh  ga memposting halhal vulgarsalahsaraatau tibatiba tangguhkanyang tangguhkandan tiga tangguh dosa appaaaa
Cuma gara gara like postingan orang akun langsung kena suspend permanen,negatif,gara gara like postingan orang akun langsung kena suspend permanen
Scroll dikit langsung ke refresh sendiri,negatif,scroll dikit langsung refresh
Ok,positif,ok
Bagus aplikasinya,positif,bagus aplikasi
Bikin akun sulit amat,negatif,bikin akun sulit
Mantap,positif,mantap
Tambah di keren kan tampilannya 👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻,positif,keren tampil 
Lebih jujur apa adanya.. intervensi yang berwajib tidak terlalu,positif,jujur intervensi wajib
"Aplikasi apa ini coba aku langganan malah keluar mana gak bisa masuk lagi,ada kesalahan teknis,silahkan coba lagi,terus aku mau buat akun baru masih sama kata katanya.",negatif,aplikasi coba langgan gak masuk lagiada salah teknissilahkan coba lagiterus akun
apk rusak,negatif,apk rusak
keren.,positif,keren
"orang orang pada aneh masalahin lemot lh apalah, pdhl lancar² aja, itu mh hp lo kali wkwkwk",positif,orang orang aneh masalahin lot lh apa pdhl lancar aja mh hp lo kali wkwkwk
Terbaik,positif,baik
saya sangat puas dengan aplikasi yg saya temui ini dan saya sangat bangga mempunyai aplikasi ini 👍👍👍,positif,puas aplikasi yg temu bangga aplikasi 
"Dibulan puasa 2025 inj, knp masuk lewat email ? Biasa nya gak bgini. Ini saya pake akun asli. Bukan abal abal. Parah nih pelayanannya. Udah gtu ditangguhkan lagi. Aku gak pernah melanggar apa pun.",negatif,bulan puasa inj knp masuk email nya gak bgini pake akun asli abal abal parah nih layan udah gtu tangguh gak langgar
Selalu semangat,positif,semangat
Nice 👍🏻🙏🏻,positif,nice 
Tidak bisa di buka aplikasi nya,negatif,buka aplikasi nya
Tambah lemot dan sekarang mudah sekali akun ditangguhkan,negatif,lot mudah akun tangguh
Bagus,positif,bagus
Ok,positif,ok
"Sangat cocok untuk saya, mencari teman dan pacar",positif,cocok cari teman pacar
Ngelag parah udh bolak-balik masuk keluar tetep aja gak bisa menanggapi mw nyari akun jd susah,negatif,ngelag parah udh bolakbalik masuk tetep aja gak tanggap mw nyari akun jd susah
"sejak jadi x, suka gajelas banget. mau login susah karena terjadi kesalahan terus, saat udah bisa login tiba-tiba akun di tangguhkan padahal akun baru",negatif,x suka gajelas banget login susah salah udah login tibatiba akun tangguh akun
Woiiii buatlu pada yang buat apk iniu apk ini mantappp baguss bangettt,positif,woiiii buatlu apk iniu apk mantappp baguss bangettt
Mantap,positif,mantap
Please make this X app smoother when opening the app.,netral,please make this x app smoother when opening the app
"Makin gila ga bisa login, ga bisa bikin akun baru, bangkrut kali ya",negatif,gila ga login ga bikin akun bangkrut kali ya
Makin buruk dan berat.,negatif,buruk berat
Nice app,positif,nice app
Apk tidak berguna saat saya download lagi gak bisa masuk katanya anda sangat mencurigakan jelas jelas itu apk kan kan dari akun ku kenapa gak bisa login mending gak usah di download bikin sial,negatif,apk guna download gak masuk curiga apk akun ku gak login mending gak download bikin sial
nggak bisa liat postingan,negatif,nggak liat postingan
"Akun sering kena suspen tanpa sebab, akun logout sendiri, makin aneh.",negatif,akun kena suspen akun logout aneh
eror mulu,negatif,eror mulu
Susah untuk di update,positif,susah update
Makin buruk,negatif,buruk
"Kenapa tweetter menjadi seperti ini sekarang, sering ngefreeze, buffering padahal sinyal bagus, setelah berubah jadi X aplikasi ini menjadi bobrok.",negatif,tweetter ngefreeze buffering sinyal bagus ubah x aplikasi bobrok
Kebanyakan iklan sampe ketutup semua selayar hp,netral,banyak iklan sampe tutup layar hp
"It's useless, I've entered the verification code but it doesn't work, damn it",negatif,its useless ive entered the verification code but it doesnt work damn it
Please deh untuk Twitter jgn kasih saya berita sampah(artis Indonesia) saya sebagai trader dan holder crypto gk butuh berita dari Indonesia,negatif,please deh twitter jgn kasih berita sampahartis indonesia trader holder crypto gk butuh berita indonesia
Mantap,positif,mantap
"makin kesini udah bug nya banyak, dikit dikit kenan suspend, pdhl bikin aku cuma buat like postingan sma retweet doang, melanggar ini itu lah jauh lebih enak dulu waktu Twitter drpd X",negatif,kesini udah bug nya dikit dikit kenan suspend pdhl bikin like postingan sma retweet doang langgar enak twitter drpd x
"X tidsk sktif lagi..alasan anda keluar dari akun..padahal sy tdk keluar.ylng perbaiki aplikasi x, agar profisional.dari kemarin suruh coba lagi.yg sy gunakan akun saya,suruh ganti akun lagi...x mau nnya gimana.tlng permudah,masih aja keluar tulisan kesalahsn tdknis,, coba lagi😵😵😵,mohon maaf ya x,saya sudah ganti akun yg baru.ttp di kunci.dan tlg teks pakai bhs indonesia aja.tlg x di hspus sj dari aplikasi ..sydah tdk bisa di gunakan.trimakasih x sudah aktif kembsli.selalu terdepsn.tlg gunakan",positif,x tidsk sktif lagialasan akunpadahal sy tdk keluarylng baik aplikasi x profisionaldari kemarin suruh coba lagiyg sy akun sayasuruh ganti akun lagix nnya gimanatlng permudahmasih aja tulis kesalahsn tdknis coba lagi mohon maaf ya xsaya ganti akun yg baruttp kuncidan tlg teks pakai bhs indonesia ajatlg x hspus sj aplikasi sydah tdk gunakantrimakasih x aktif kembsliselalu terdepsntlg
Ok,positif,ok
Memulai dgn hiburan yg menarik,positif,dgn hibur yg tarik
Baguss.. 🫨 bisa nyimpen foto.. My idolll.. 🩷🩷🩷,positif,baguss  nyimpen foto my idolll 
busuk,negatif,busuk
"Akun payah, gak ngapa-ngapain cuma scroll ajah malah di suspend. Bikin baru di suspend lagi, dulu enak aplikasi gak berat sejak berubah nama jadi X jadi makin bobrok",negatif,akun payah gak ngapangapain scroll ajah suspend bikin suspend enak aplikasi gak berat ubah nama x bobrok
Mkin banyak iklan,negatif,mkin iklan
X adalah aplikasi terseru menurut ku,positif,x aplikasi seru ku
Ok,positif,ok
Sangat baik dan buruk nya Kurangnya pengetahuan yang cukup lama dan baru sadar bahwa kita bisa melihat dan berbagi cerita,positif,buruk nya kurang tahu sadar bagi cerita
Suka banget aplikasinya,positif,suka banget aplikasi
Sangat terbaik..,positif,baik
Enak bisa nonto +18,positif,enak nonto
Lemot,negatif,lot
X aplikasi terburuk yg pernah saya instal,negatif,x aplikasi buruk yg instal
Bagus tpi belakangan ini bnyk iklan bermunculan tolong iklan nya di kurangi ya agar lebih keren!!!,positif,bagus tpi bnyk iklan muncul tolong iklan nya kurang ya keren
di coba,positif,coba
Good,positif,good
Tak kasih tiga bintang dulu bos q,netral,kasih bintang bos q
"tolong di perbaiki, masa muter² terus",negatif,tolong baik muter
"padahal sudah di ubah pengaturan konten nya tapi masih juga di label,makin updet makin gak jelass",negatif,ubah atur konten nya labelmakin updet gak jelass
Bagus dan terkoneksi dengan yg lain nyA,positif,bagus koneksi yg nya
bintang yang berbicara,positif,bintang bicara
Aplikasi tolol mau login ke akun gw aja susahnya minta ampun,negatif,aplikasi tolol login akun gw aja susah ampun
Bagus,positif,bagus
Bagus,positif,bagus
lov uu,positif,lov uu
yang download x cuma mau mantau inn biass ☝🏻,positif,download x mantau inn biass 
gacor,positif,gacor
Mantap,positif,mantap
Jelek banget udah lemot mana suka kembali sendiri,negatif,jelek banget udah lot suka
Aplikasi sering kluar sendiri,negatif,aplikasi kluar
aplikasi nya bagus!,netral,aplikasi nya bagus
macam tak betul jeh,netral,jeh
"tolong ya benerin ni apl, soalnya sering refresh sendiri bikin maless, kadang lagi baca berita ehh malah kerefresh",netral,tolong ya benerin ni apl refresh bikin maless kadang baca berita ehh kerefresh
Sekarang BAYARRRRRR MALASSSS BRO,negatif,bayarrrrrr malassss bro
"Akun saya di tangguhkan karena melakukan pelanggarn,dan saya sudah mengajukan banding,tetapi tidak ada balasan dari pihak X",negatif,akun tangguh pelanggarndan aju bandingtetapi balas x
Bagussss,positif,bagussss
"Saya lupa nama pengguna saya,jadi saya kehilangan akun x saya,dulu tidak perlu ada nama pengguna sekarang ada",negatif,lupa nama guna sayajadi hilang akun x sayadulu nama guna
"masi bagusan twitter daripada x, sekarang iklannya ga ngotak, ditambah cenblue bisa dibeli, komentar isinya cuman cenblu doang",negatif,mas bagus twitter x iklan ga ngotak tambah cenblue beli komentar isi cuman cenblu doang
Sering banget logout sendiri... lalu tidak bisa masuk... akun ditangguhkan bla bla bla...,negatif,banget logout masuk akun tangguh bla bla bla
Baik dan bagus,positif,bagus
jdi bnyak problem nya,negatif,jdi bnyak problem nya
Mantul⭐⭐⭐⭐⭐,positif,mantul
"Always crashing while open inbox, please fix this",negatif,always crashing while open inbox please fix this
keren Twitter next level ini mah,positif,keren twitter next level mah
Pliss developer udh hampir 6 tahun aku ga bisa daftar app ini😭 kalau ada bintang nol kayaknya tak kasih nol gt ada apa sii??,negatif,pliss developer udh ga daftar app ini bintang nol kayak kasih nol gt sii
Kenapa saya tidak bisa unggah gambar di deepsearch,negatif,unggah gambar deepsearch
"Aplikasi apa si, daftar aja sulit seekali",negatif,aplikasi si daftar aja sulit seekali
apk mantul,positif,apk mantul
Suka nge close sendiri. Gajelas bgt,negatif,suka nge close gajelas bgt
"kok makin habis di update makin lemot yah?,akun aku jg ilang,harus buat akun baru,tapi udah aku update,udah berkali"" coba buat akun tapi tetep ga bisa,tiba"" malah jadi layar hitam",negatif,habis update lot yahakun jg ilangharus akun barutapi udah updateudah kali coba akun tetep ga bisatiba layar hitam
Good job bro,positif,good job bro
"kenapa abis update, malah notifikasi ga pada masuk sih",negatif,abis update notifikasi ga masuk sih
The best application,positif,the best application
"Apk sosmed paling dewasa ya ini, Twitter👌",positif,apk sosmed dewasa ya twitter
Bagus banget,positif,bagus banget
Bagus,positif,bagus
K0ntI loh elon,negatif,knti loh elon
pusat video perbokepan,netral,pusat video perbokepan
aplikasi ini sangat memuaskan,positif,aplikasi muas
lemot anjay,negatif,lot anjay
Bagus,positif,bagus
buat nonton bokep enak bet,positif,nonton bokep enak bet
"Kebanyakan aturan, sitem bantuan susah, akun di bekukan gara"" email sudah tidak aktif. Dan tidak ada bantuan untuk mengganti email yg sudah tidak aktif. Akhir nya akun tidak bisa di buka",negatif,banyak atur sitem bantu susah akun beku gara email aktif bantu ganti email yg aktif nya akun buka
Burikkk jelek refresh trus sendiri,negatif,burikkk jelek refresh trus
"akun saya ditangguhkan saya sudah mengajukan banding tapi tidak ada balasan, padahal saya tidak melakukan apa-apa hanya untuk memantau artis favorit saya.",negatif,akun tangguh aju banding balas apaapa pantau artis favorit
Bagus bermanfaat,positif,bagus manfaat
Mantap aplikasi yang sangat bagus buat saya,positif,mantap aplikasi bagus
Tidak bisa daftar.,negatif,daftar
Good,positif,good
Very good,positif,very good
Saya suka banget ya,positif,suka banget ya
Banyak teman baru,positif,teman
Lemott parahhhhhhh,negatif,lemott parahhhhhhh
Klau ada trending sama seperti dulu mantap,positif,klau trending mantap
Ngelag banget woy mau cari info tentang sepakbola susah bet gara gara X nya ngelag/eror,negatif,ngelag banget woy cari info sepakbola susah bet gara gara x nya ngelageror
gabisa dibukaa,negatif,gabisa dibukaa
Aplikasi yg bagus sangat membantu untuk berinteraksi sesama teman dan layanan yg baik terus tingkatkan dan saya bintang lima,positif,aplikasi yg bagus bantu interaksi teman layan yg tingkat bintang
Always Sukses 🤲🙏👍,positif,always sukses 
Apk nya bangus seklai,positif,apk nya bangus seklai
X emang ok,positif,x emang ok
Good,positif,good
di refresh refresh sendiri,negatif,refresh refresh
Baru coba download dan Pakai .kok Ratingnya rendah sekali ?? Whats Up ?,positif,coba download pakai ratingnya rendah whats up
UD gunakan akun asli tetep TDK bisa kena ap sekrg di persulit,negatif,ud akun asli tetep tdk kena ap sekrg sulit
Kasih bintang 3 dulu klu keren baru saya kasih bintang 5,netral,kasih bintang klu keren kasih bintang
"Kenapa sering eror ya,,pas buka linknya",negatif,eror yapas buka linknya
Sekarang jadi bagus beritanya makin lengkap,positif,bagus berita lengkap
blokir yg membuat ujaran kebencian,netral,blokir yg ujar benci
Kok ga bs terbuka,positif,ga bs buka
Aplikasi yg bagus,positif,aplikasi yg bagus
Oke sip,positif,oke sip
Ok,positif,ok
Good crot,positif,good crot
Sya mohon aktifkan akun sayaa pak...maaf klw aku salah,positif,sya mohon aktif akun sayaa pakmaaf klw salah
Bagus walau terlalu banyak batasan saat ini,positif,bagus batas
Seru,positif,seru
