review,sentiment
"Bikin panik ihh, masa baru scroll² sambil liat video kusink² imupf malah acc X ku tiba² ke kunci. (-1000 aura. Not cool Elon, not cool.😾🙄🙏🏻)",2
Akun di tangguhkan mulu.,1
"Tetep bintang 1, pindah pemegang jadi ampassss",5
"Gob**""",1
kenapa ya tiap ganti ava tuh harus dua kali?? atau gak bisa sama sekali ganti.. harus ukuran brp sih foto nya????,2
"Kenapa ini kok gak bisa masuk,tolong perbaiki,masa tiba-tiba keluar akun Twitter, masuk kembali gak bisa parah ini aplikasi",1
ga jelas aplikasi,1
"keselll bgttt, lgi scroll"" mlh keluar sndri, mana sering bgt lgi",1
not bad for the app :),4
Uninstall,1
"timeline suka refresh sendiri, kadang belum baca sampai habis malah refresh bikin emosi",1
"Terlalu lama loadingnya, pdhl jaringan+sinyal+kuota ada",1
Masalah login,1
Aplikasinya sudah bagus. Cuma kadang ada masalah internet aja. Tapi aku yakin itu bukan dari app nya. Lumayan buat nyari inspirasi. Overall semuanya udah cukup untukku.,5
Ok,5
"Hi, I have a complaint why my account is always locked by itself? even though i have never done anything that is anchorable in the apk, please help and fix it soon 🙏🏻",2
Sering ngelag hp setelah buka aplikasi X. Padahal gak buka apa2.,1
kenapa ya twiterku ga ada vidio nya kayak porn gtu padahal dulu normal2 aja dah skrng kayak ga muncul trs vidionya,3
Aplikasi koclok,1
Kok saya gak bisa mengistal,5
Kagaa bisa akun,1
kok sering keluar sendiri ngtd masa login terus,1
Good,5
Good,5
"Ini twitter knp sihhhhhhhhh, sering bgt tiba tiba log out trs suruh verifikasi email, tapi pesan verifikasi nya tuh dateng 3 hari kemudiannn, ya gmn bisa diverifikasi nya ath kalau ky gitu mahhhhh( ｀д´)",1
"Jujur sepengalam saya pakai aplikasi ini agak kecewa dengan beberapa hal, saya telah menemukan konten yang saya cari😋, dan udah dapat ehh pas lagi mau nyimpan malah server atau apalah ngelag dan disuruh login ulang jujur saya kecewa padahal jika tidak karena beberapa hal itu kemungkinan besar saya kasih bintang 5 karena cukup lancar dan gak ada masalah bagi penyimpanan tapi masalahnya ada di login akun kenapa terus ngulang walaupun akun kembali lagi tapi tetap bikin kesel🗿",4
Aplikasi nya banyak ngebug akun saya rawan di tangguh kan,1
"Iklan video sangat mengganggu, sudah klik ""saya tidak suka iklan ini"" tapi terus saja muncul. Apalagi autoplay membuat kuota cepat habis. Belum termasuk iklan permainan judi online.",1
kecewa banget udh ga bisa login sering lag di tambah klo mau buat akun malah di arahin ke web,1
bad apk,1
Sgt TDK bagus,2
Aplikasi sakit,1
"Sangat bagus, dan cocok",5
Anjir banyak ambatukaaaam,5
"LOGIN JARANG, SEKALINYA MAU LOGIN, TIBA TIBA AKUN SUDAH DI KUNCI ATAU DI TANGGUHKAN, PADAHAL CUMA NYARI BERITA DOANG, KOMEN AJA GK PERNAH",1
Aplikasi sangat baik..,5
Sangat bagus,5
apk luar biasa,5
Nicee Apps 👍,5
Sangat baik,5
sering log out sendiri 😐,1
Bagus,5
"Apalah akun gw kok sering banget ke log out sendiri, terus belum lagi verifikasi nya sering banget eror, kalau bisa kasih 0 bintang udah gw kasih anjir",1
Makin ksni mkin kek eek,1
apk yang sangat seru,5
Sangat sempurna dan bermanfaat,5
Baik,5
Ini kenapa ya kok banyak akun yang ditahan? Tolong pihak Twitter (X) di perbaiki lagi... Saya gak bisa akses kembali dan follow seseorang 🙏,4
Mantab dah,5
hard to open massage,1
Suka logout sendiri,1
Good,5
Keren,4
Sejak jadi x gak bisa masuk akun twiternya,1
Good,4
Bagus,5
Bagus elon,5
"udah bagus udah bisa, cuz gue kpopers butuh bgt ni x buat update daily idol dll. moga ga tambah jelek ya!",5
👍🏻,4
Masa gak bisa daftar pake email padahal mah email nya belum kepake buat daftar akun di X,4
Makin keren,5
"Masuk akun lama tapi lupa sandi dan nomer hp buat daftar udah mati, udah otak atik tetep gak bisa masuk",1
Hilangkan iklan judi online...!!!!!!,1
"baru download gabisa masuk,force close mulu",3
Bagus,5
Bintang 1 dulu ya nanti kalo makin baik saya tambahin,1
Bagus,5
Ok,5
Bisa nonton Bu salsa🎉🎉,5
Knapa logo burungnya di ganti dengan tanda x jd jelek,5
Bagus,5
Bagus,5
Ini buruk selalu ada hal yang menganggu,1
Xtuweter,5
"tangguhkan aja terus akun gw sampe kesel tiap hari ditangguhkan, masa cuma like berapa postingan bisa ditangguhkan mulu kalo keseringan kan kesel apa kita gak boleh like/rt padahal engga nge spam juga 😡",1
"twitter semenjak pindah owner, semakin jelek. akun tbtb sering ke logout sendiri padahal baru mau pake, baru di pake juga tbtb ke lock dan followers jadi 0 trs baliknya lama bgt, tolong segara diperbaiki lagi masalah ini. makin gajelas sering ngebug pdhl data seluler jaringannya lancar, kinerja aplikasi nya semakin jelek. pokonya ini apk jadi buruk bgt. saya main twitter dari lama tapi baru kali ini selalu ngalamin hal seperti itu. akun saya tanpa alasan tbtb ke suspend, udah 4 akun yg di supen.",1
baru juga bikin akunya terkunci hanya salah masukkan kalender doang akun terkunci,1
👍,4
Makin lemot dah ni aplikasi,1
Agak susah di download sekarang dan di perbaruiiiii,3
Nggak menarik ok,1
Sangat baguss,5
Ga ad fitur chat sementara SPT apk lain,1
"Perbaiki Bug dan jaringan doonk,, buat aplikasi yg lain ok lancar giliran buka x muter² doank doank doank",1
aplikasinya jelek setiap mau login keluar trus,1
Cepat menangkap berita daripada media lain.Good Job👍👍👍👍🥰🥰,5
"Aplikasi bagus muda di pahami, dan banyak berita²",5
"Maaf ya tapi tiba² akun aku ke kunci sendiri padahal aku ga ngapain-ngapain, paling ga buka X 3 hari",1
Akun sudah ada,5
Tampilannya gak menarik lagi,1
Masih tetap nomor 1,5
"Bagaimana bergabung dengan program beta , walaupun sudah penuh",5
"tadi saya mau daftar tapi kode verifikasi yah belom muncul, kadang suka muncul akun anda bermasalah , padahal aku ga buat masalah",5
Makin Parah X sekarang,1
👍🏼,5
Terbaik,5
Good,4
good apps,5
sy udh blk² bkn akn tp msh aj g bs msk jd g mood,1
Tambah galau,5
Good Twitter,5
omaga i love you,4
"Twitter adalah platform yang luar biasa untuk terhubung dengan orang-orang dari seluruh dunia. Desainnya sederhana dan mudah digunakan. Saya suka bisa mengikuti berita terkini dan berbagi pendapat dengan cepat. Fitur 'Trending' sangat membantu untuk mengetahui topik hangat. Namun, terkadang banyak konten negatif yang bisa membuat pengalaman sedikit kurang menyenangkan. Secara keseluruhan, Twitter tetap menjadi aplikasi wajib bagi yang suka berinteraksi dan berbagi informasi!",5
Makin lelet,1
"Tak bisa masuk akun, dan tak diberikan solusi. Elon musk terbaik dalam membuat platform ini semakin buruk~",1
"Terlalu berlebihan dikarena yang muncul di rekomendasi hanya postingan yang berlangganan premium verifikasi badge jadi agak kurang menarik - english version ""It's too much because only posts that subscribe to the premium badge verification appear in the recommendations, so it's a bit less interesting.""",4
Sangat membantu untuk Informasi dan dapat membuka jendela dunia 👍,5
Lagi gak bisa dibuka,5
Ok,5
APLIKASI KANDANG MONYET BJIRRR,1
Ok,5
Ok,5
Good👍,5
Great,5
KENAPA RIWAYAT CHAT DM TIBA TIBA HILANGG,1
Good,5
On great,5
Good AI,4
Oke Juga,3
Usefull,5
Oke,5
Aplikasi byk kali ya iklan,1
Suka,5
Seribu kali gak bisa login,1
Tolong di perbaiki Dikit dikit refresh sendiri Lgi baca baca tiba tiba refresh sendiri Tolong di perbaiki 🙏,5
"Sangat""memuaskn mengunakan aplikasi Twitter ini",5
Makin memburuk,1
"Bagus, tapi suka ngelag la, suka tiba² ke logout. ANEHHHHH BANGETTTTT PLISSSS",3
Bagus,5
"Bung, akun malah ke kunci ga jelas mau download lagi MB nya gede tolong benerin",1
"Tanpa sebab apapun akun ditangguhkan, padahal tidak posting, tidak comment. Hanya melihat status saja selama ini.",1
Makin buruk aja,5
b aja,1
kebanyakan iklan + sering force close + sering ke log out akunnya,1
Apk tolol,1
"Aplikasi tiba2 eror dan tidak dapat di buka, tidak tahu apa yang terjadi,",1
Begitu bnyak janji dan aturan yg t masuk di akal sebenernya,5
"Tiba""akun ke kunci, logout terus tiba""",1
Sering sistem error,1
mantap,1
Mantap lah,5
Dan jangan lupa kasih bintang 5 agar si developer nya bahagia,5
Berita sangat banyak,5
"okey sih, tapi banyak banget bug nya, sering banget akun di kunci padahal ga ngapa-ngapain, mungkin kedepannya bisa di perbaiki, terimakasih.",3
saya mau minta tolong sa at saya membuka video kenapa jadi sulit dan lambat padahal jaringannya bagus,4
"Bug apa gimana sih, ngirim pesan cuma ada tulisan mengirim ga masuk",2
Makin kesini kok makin banyak vidio aneh² sih padahal nga pernah search kaya gituan tolong diperbaiki,1
Sangat membuka wawasan tentang banyak hal,5
Sangat baik buat update info berita terbaru,4
Layanan kurang baik kepada pelanggan!. 😒😡 Saya ingin verifikasi akun kenapa kodenya masih belum masuk ke akun email saya padahal kan sudah saya kirimkan email saya ke pihak Twitter,1
Mantab.... Platform Medsos terbaik saat ini,5
Good,5
"makin kesini makin Ngebug, kacau",1
"Semakin bagus,hanya saja kenapa sering logout sebdiri,padahal sedang ngerjakan task aplikasi mining. Mohon diperbaiki!",5
Ok,5
bug log out,1
twitter you are not recomended at the moment 🫠,1
Bagus,5
sangat baguss,5
sumpah ni apk ngaco bgt. masa iya tiba' ke log out sendiri🥴,2
Semoga lancar download nya dan ga banyak iklan itu aja,5
Sangat bagusssssssssssss,5
Suspend terus,1
Kenapa kok ga bisa muncul untuk di install sih,1
Cukup bagus,5
Mantaap,5
Perbaiki bugg nya,1
Baguss,5
Aplikasi buruk sekarang,1
Banyak bot dan sering eror susah masuk,1
jdii enk nntoon🗿😭,5
Oke,5
Makin kek sampah ni aplikasi,1
"pada 2018 saya sangat senang bahwa semua berjalan dengan baik, tapi 2023 sampai 2025, kenapa sering terlogout tiba tiba, bahkan untuk kembali login sangat susah sekali. tolong di perbaiki",2
Mau bikin akun aja susah amat apk pokee,1
Sampah,1
Ok bos,3
I think it's not bad,3
Keren,5
belum punya followers. kebanyakan di toktok,5
Bagus banget,5
bnyk bug,1
"Satu bintang aja dah bagus,aplikasi di download kok mu di pake daftarnya bikin emosi Krn GK bisa berhasil,niat kerja GK???",1
Beberapa notif balasan tidak masuk ke notifikasi. Tolong perbaiki.,5
sangat memuaskan,5
"Makin banyak bug, tiba² log out sendiri mau log in lagi malah susah",2
kurang kurangi suruh verifikasi nya ya pakde ilon🥰😁,4
Very good,5
Nice,5
Ga wort it,2
aplikasi gajelas BALIKIN DI ERA TWITTER! saya gapernah melanggar persyaratan dan akun saya kena tangguhkan! sudah ngaju banding tidak ada respon! aplikasi rusak. mana di tangguhin permanen,1
Bagus,4
Makin lama makin bobrok masa kutipan dan Twitt tidak bisa dilihat orang lain buruk sekali 😴😴,1
"ini x lain apa gimana, gw ga aneh aneh di x akun gua di kunci,baling ini x, tolong lah cape buka kunci akun x ni mulu, yang betul ae kenapa dah",2
Bagus,5
Lmyan,4
"Ini kenapa x jadi jelek? Pas saya udah ganti sandi saya ulang masuk malah ada gangguan, aneh emang ni apk",2
"sejujurnya udh oke smua, tp kenapa saya gabisa ganti usn ya? terus mau ganti nn pun tidak bisa. tolong d perbaiki ya..",2
Very nice,5
Apk yg bikin HP banyak iklan wkwkwk,1
gabisa di buka,1
Gw dah langganan berbayar tapi ketika memasukan no hp eror terus,1
훌륭한,5
Sangat menyenangkan banyak hiburan dan curhat curhatan,5
Oke 👍,5
hilangin auto scroll saat menonton video lah ganggu banget sumpah,1
gila semuanya harus premium sekarang,1
Good,5
Aplikasi tolol,1
Apk jelek,1
"Makasih,gak jadi instal...ribet sign up nya",1
Elon Musk You Damaging Twitter l,3
"Saya turunin rating, untuk saat ini susah buat login, sering disuruh ganti password..",4
Coba dulu,5
Ok,5
Bagus,5
Aku sangat bangga pada aplikasi in,5
"buka timeline udah gak kayak dulu lagi, yang keluar cuma itu² aja mana iklannya banyak banget buka komen pun juga muter terus",1
"knp y ini,gabisa msuk ke apk nya,suruh kirim email,udh di kirim mlh gabisa,tolong y",2
Bagus,5
Twitter apk is now disturbing. I want lots of users but like this. My account has been suspended strangely. even though you only use scrolls to look for information,1
kenapa gk bisa login.?,1
aneh banget masa ga bisa ganti username?? switch ke chrome juga sama aja tetep ga bisa ganti username. kenapa deh? bug atau apa? nyebelin banget,1
Semoga bermanfaat,3
UPDATE UPDATE TERUS ! JANGAN KEBANYAKAN NGE SUSPEND DONG ELON,1
Xxxxxxxx konyol.,1
Kebebasan nya aku suka banget' terus ya sekarang malah diperketat kalo bisa peraturan bisa di perlonggar lah,5
Coba dulu yaa nanti klu Bagus tambah bintang,1
Bagus 👍,5
bgs tp kok sering ke blokir akunya pdhl ga merasa melakukan tindakn yg tidak baik,5
Standard. Very nice,2
Good,5
"sering force close njr, kenapa cuks",1
Pas download mau daftar akun baru kena bug terus tidak bisa masukin data dan nama,1
burik,1
Nih gw napa gak bisa scroll lagi dah,3
Ok,5
"lemotnya naudzubillah, downloadnya lama bngt",2
"Yg masih harus diperingankan adalah utk X Premiumnya biar bisa jadi Member X Setelah diupdate X jadi lancar dan ringan aplikasinya, hanya setiap buka aplikasi X selalu kembali ke paling awal. Pdhal kadang2 kita melihat belum selesai lalu akan dilihat kembali nanti krn ada telp atau sdg kerja lalu kita keluar dulu maka waktu mau masuk kembali sdh ganti shg yg tadi belum selesai di baca sdh tidak ketemu lagi",5
ok,5
Gk bisa loginn,1
Baik,5
Bagus sekali,5
"Tolong, kode konfirmasi tidak juga kunjung di kirim ke email. Hal itu di butuhkan untuk log in ke akun saya. Email dan password benar.! Saya ingin akun kembali bisa log in di aplikasi.",1
forno bgt jir nih aplikasi,2
"Aplikasinya bagus sih tapi sayang nya akun aku kena pelanggaran padahal aku nggk ngapa ngapain loh jarang buka x , terus tb"" ke blokir",3
Kesalahan teknisi😔,1
"Akun saya sudah bertahun tahun bisa bisa nya di tangguhkan terkait akun yang tidak autentik, tidak masuk akal",1
"Seru ,kita bisa banyak mengakses hambir ke semua :D",5
Apk bagus,3
ngebug mulu,3
Scroll yang kita suka suka reset ke atas,1
Cukupbagus,4
"Aplikasi kurang nyaman dipakai konsumen,sering ngelag,hank,auto sign out",1
Sy mau Twitter ini aktif,5
Saya suka,5
Mantap,5
"Gajelas gak posting apa apa cuma scroll doang sampe 5 akun gua di tangguhkan terus, lalu gua ga pernah follow akun akun crypto tapi ntah bagai mana tiba tiba malah nge follow",1
ok,5
bagus,4
kok apk ini makin ke sini makin sampah sih? 1. Bug pas Scrroling tiba² layar jadi hitam terus kembali ke beranda secara otomatis 2.setiap masuk X hp jadi agak lemot 3.bug suara ngk ilang² padahal video udah berhenti Perbaiki lah tod,1
Spesial,5
yy biasa aj,5
Bisa nonton anime,5
"akun aku di tangguhkan, padahal gak pernah ngelanggar, udah ajukan banding tapi berbulan2 ga ada respon, mau bikin akun baru gak bisa, postingan dibatesi MAKSUDNYA APA YA??! semenjak ganti nama jadi X sih ini (kalau bisa saya gak bakal ngasih bintang)",1
Mantap,5
Saya kasih bintang 𝟓 𝐁𝐨𝐬 𝐨𝐤𝐞.sangat Bagus,5
Habis update gak bisa dibuka,1
Bagus,5
Aneh,1
Parah dikit2 suspend!,1
Top,4
Keseringan suspend payah bangat,1
Akun terus di blokir,1
"setiap buat akun suka disuruh buat kirim email trus dimintain kode verifikasi tp kode verifikasi nya nggak muncul"" itu masalahnya dari mana ya?",3
Karena ada bokepnya,5
Gak bisa logiiinnn!!!!!!,1
Fav one,3
Bagus,5
Makin kesini makin buruk lagi enak² bacain comen orang tiba² keluar sendiri pas masuk gk bisa,1
Ini kalo mau enak nonton harus pake sinyal apaan sih udh pake wifi pake kuota sama aja lenot banget perbaiki napa kualitas jangan lemot lemot tan mulu,2
Niat bikin app gak sih gak jelas nihh blacklist aja playstore,1
Jelek banget grafik nya bagusan di mlbb,1
Plis dwh,5
Akun saya sering ke log out sendiri,1
Gajelas bgt makin kesini akun gua keluar masuk terus.,2
Makin lama makin jelek ni aplikasi,1
"Gak bisa, login",3
Mantap ini semua jenis vidio ada dan terlengkap dan teraktual 😊,5
Tiba2 keluar masuk lagi malah di tangguhkan makin kesini makin ga jelas aja ga guna jadinya,1
"Baguss, untuk fitur2 nya.",5
terlalu sering autentikasi dan error,1
Bagus,5
"banyak bug nya, makin sering keluar sendiri, refresh timeline sendiri",1
Buruk sekali terlalu banyak BUG,1
gaje,2
Suka banget X. Saya pakai X buat ikutan kuis dan giveaway. Tapi tolong jangan menangguhkan akun lama-lama. Jadi kesel kalau akun ditangguhkan.,5
Ok,5
Cool,5
Good,5
Suka,5
Haduh moga ada yng baca di pihak x .tolong di perbaiki pelayan admin nyh .ini gi mna x ko begini amat ta Melaku kan apa apa ko di tangguh kan. Dan mengajukan banding .GK ada respons sama sekali. Tiap hari isi from.pengajuam banding.gk sama sekali ada yng respon .aplikasi robot ini. Barang kali sodara di sini ada yng bisa mengatasi akun x di tangguh kan .gi mna cara .nya supaya akun Twitter di kembalikan,1
Good information,5
Seru banget karena ada gajinya,5
Sangat membantu,5
"Dh bertahun2 make, sekarang malah ngebug gabisa putar video, masalah pemutaran, gmna tuh.. help",3
Ko tiba tiba akun saya di tangguhkan. Padahal saya tidak melakukan pelanggaran. Aneh memang ni apk. Lagi nonton suka balik sendiri. Terus harus login lagi,1
"Aplikasinya bagus,cuma yg bikin jelek penggunanya banyak yg menjadikan aplikasi ini sebagai sarang penghinaan terhadap seseorang",1
Mantab,5
"Dih akun gak ngapa-ngapain di tangguhkan, gila",1
Uptodeate,4
Pokonya mantap anti mainstream,5
gajelas akun gw tiba tiba ke suspend padahal gada melanggar peraturan x gila,1
Sering GK mau ke refresh.... Aneh,1
Very good,5
Suka bergaul,3
Baik,5
Good job,1
aku suka banget disini bisa bergaull org nya juga asik asik,5
Akurat dan terpercaya,5
Terima Kasih Untukku,5
Aplikasi ini bagus sekali saya akan beri bintang lima,5
Mantap,5
Mantap sangat membantu,5
Goood,5
Ok,5
Sering eror,2
Aku kasih bintang 3karna kadang Twitter atau X kadang nga bisa di buka kadang eror dan eror nya pun nga sebentar tapi cukup lama,3
Mantap semua ada,5
Maaf kasih bintang 1 (jelek) Sumpah banyak bug nya... Kalau bisa di perbarui iya biar enak pakai nya,1
Sangat Bagus,5
b aja,5
Banyak masalah,1
Good,5
Bagus aja,5
Sering keluar akun sendiri,1
baru mau login x malah kedapatan ada yang pake email ku buat login,1
"Mau lihat retweet yang lama"" tidak bisa dia stuck di beberapa video awal padahal mau lihat retweet yang lama""",2
Diban mulu akun saya . Padahal ga ngapa ngapain . Aneh,1
aman sih,5
Ok,5
Senang bisa berbagi,5
Ok,5
Sistem Login sangat jelek baru buat gk bisa login beda sama yng dulu hadehhh,1
"ini X punya dendam apaan dah ama aku, udah akun di tangguhkan mulu di ajukan aju banding ga ada respon, setres",2
Mantap,5
"New version of the app is not compatible with my phone, samsung j2 pro, android 7.1.1",3
Mnatap,4
Apa sih akun tiba tiba di tangguh kan Gak jelas babi!!!,1
Good job,5
Bagus,5
Jelek sudah masuk akun namun tidak bisa padalah sandi Gmail sudah benar,5
Ini kenapa ga bisa lihat semua (MARKAH) sama yg (SUKA) aduh tmbh rusak apk ni....,1
So good,5
Auto refreshnya agak nyebelin,4
"Makin kek sampsh,gak jelas",1
hapus lah komentar kemungkinan spam seakan akun saya spam apa gimana itu jelas kesalah bug yang belum di perbaiki saat ini lagian sosmed lucu aja buat kebebasan berpendapat,1
gak bisa buka aplikasi ini lagi,1
Sering relog sendiri,1
Akun ga kenapa kenapa ditangguhkan kan,1
Saya di tangguhkan,2
"apk dongo, mau re login di suruh ngasih nama pengguna sebelum nya. Padahal nama pengguna yang gw kasih udah bener tetep aja salah. Apk dongo gak guna bangkrut aja",1
kebanyakan fitur gak guna Twitternya jadi lemot,2
"Tiba tiba suka ke log out sendiri, tolong di perbaiki soalnya ini mengganggu banget",4
"Bagus,, wlw terkadang terdapat bug",5
Sangat bagus,5
"Bugnya kurang banyak bung, tambahin lagi bugnya biar mantap.",1
"Assalamu'alaikum, ini Tgl:25/02/2025.... GW baru Sekalinya Mao mendownload aplikasi Twitter tau buat apaan ya..... Tapi seperti biasa gw beri bintang 5kalo da 7 mao gw ksh bintang7",5
Aplikasi gede tapi ko gini njir 🤣,1
Gabisa masuk masuk,2
logout terus pdhl akunnya udah bener tapi ga bisa login,1
good,1
Goodluck,5
Ini aplikasi kenapa ya kok sering logout sama sy kadang gk bisa login ke aplikasi padahal jaringan bagus,1
Suka,5
Ok,5
Nggak bisa masuk udh daftar berulang kali nda jelass kadut,1
"Aplikasi ga jls , akun sering kena kunci",1
Bisa perbaiki gk,5
"smooth operator. Detail, ui nya sudah ngikutin jaman.",5
"Penginstalan lama bgt bjir, udah 20 mnt",2
"Keluar sendiri dari aplikasi, jangan download nanti nyesel",1
App bagus sekali,5
Lumayan,5
Amazing,5
"Excuse me, Sir I can't access my X account because it's suspended A lot of my work is related to account X until now my work has been hampered I didn't break rule X please kindly reopen access to my X account so I can work again",4
Ga jelas.. main suspend aja.,1
bagus,5
Mantap lah,5
ga suka sama update yang sekarang,5
Bagus aku suka _👍👍👍👍,5
Mantap,5
"Infonya akurat tentang perkembangan ekonomi, politik dan olah raga",5
Bagus,5
Aplikasi buzzeer berkeliaran😂😂😹😜,1
Vidionya mantap no sensosr,5
"Kureng, tapi banyak yang pake",2
"Bagus, update info",5
"Akun saya kok ditangguhkan secara permanen, terus pada saat mau ajukan banding tidak bisa. Tidak ada opsi lagi... Apalah ini Twitter (X)",1
Good,5
Tolong ubah penyimpanan x ke eksternal,3
"Good but if your account get hacked, you wont have it back. Even you have prove of purchase.",5
Akurat dan bisa berekspresi,5
Tiba2 disuspen gajelas koplak,1
Nice,5
X: Keren. Keren. Keren. Mantap👍👍,5
"Sip, Saya suka kalau di suruh rating hehe, keren deh pokoknya, hmmmm haha",5
Mantap,5
"gatau, tapi akun sering banget logout tiba tiba terus juga kalau mau login ulang malah gabisa. tolong diperbaiki lagi ya",3
"Aplikasi ini sekarang sudah seperti sampah, terlalu banyak bug, selalu gagal saat di koneksikan ke game, dan tidak pernah di perbaiki, x sampah",1
aplikasinya sangat bagus buat nonton film,5
Ok,5
Good,5
Bagus,5
Ku kasih 2 bintang soalnya Sekarang Ga bisa Scroll Ampe Ke bawah lagi.. Padahal Itu berguna tapi mlh gabisa PLIS BISAIN SCROLL AMPE RIBUAN LAGI;-;,2
Memberikan banyak informasi,5
Kok susah cara mendafarnya malah kok tanggal lahir ga bisa ...selalu muncul cuma tahun 2025,1
"bug, masih ada suara video yg sebelumnya diputar",4
Ok,5
Kenapa hp saya tidaak bisa lagi unduh apl ini?,1
Baik,5
Cukup bagus,4
"Sebenarnya udah bagus tetapi kok bisa ya, akun saya ter log out sendiri ini tolong ya. Saya punya beberapa akun di x selalu ganti karna akun saya ter log out sendiri.",3
Mantap,5
kenapa pas lagi enk enk scroll kok tiba tiba kekunci gimana ini diatasin dong risih bgt tiap kek gini,1
Ada apa dengan aplikasi X,5
👌,5
Lumayan,3
Keren,5
"Selebihnya udah bagus, tapi sering ke log out sendiri dari akun padahal ga ngapa-ngapain. Jujur kesel banget tiap begini, tolong di perbaiki.",1
akun ditangguhkan padahal akun baru makin kesini makin kaga jelas,1
stuck di logo,2
Bagus sekali,5
Terbaiklah untuk cari informasi,5
lemot ..... you know lemot... is LOADINGGG..............................100YEAR it app suck .. mending kamu jual lagi aplikasi twitter ini kamu tidak bisa memajukan aplikasi ini yang asal nya bagus jadi sampah,1
Aplikasi X dapat membatu saya dalam mendapatkan informasi yang akurat dan akan selalu menantang di dalam program yang di tampilkan oleh seluruh kalangan yang berperan aktif di media sosial baik itu bersifat yang nyata maupun yang tidak nyata,3
Mantepp,5
Aplikasi rusak mau masuk aja ga bisa udah berapa kali gw coba masuk malah nge stack ga bisa masuk apa coba,1
"twitter semakin kesini semakin buruk, acc saya kena limit follow, message & like. padahal blm mencapai target tpi udh d batasi aja. klo udh bagus lgi ntar deh saya ubah lagi penilaiannya",1
Karena akun saya terkunci,5
"For a long time, this application has had many unclear prohibitions. Are you ready for this application to be taken down simultaneously if there are no improvements?",1
bagus,4
Oke,5
Tidak bagus.,5
Sangat baik dan lancar,5
"Sering logout sendiri .. ganti no log in susah bgt .. apaan sih lama"" GJ lu",1
Good,5
lebih suka twitter dr pada X jeleekl,5
"Ntah kenapa akun saya kena tangguhan padahal cuman scroll scroll gak jelas aja, udah lambat lagi gak bisa dihubungkan ke aidrop telegram",2
Mantep,5
"Terimakasi konfirmasinya data minet migrasi ,kyc full.🙏",5
Sering ditangguhkan ga jelas masalahnya,2
Tiba suka mintak verivikasi aplikasih ini nyebelin,1
Tetap evaluasi.anak anak / remaja dibawah umur baiknya jangan ! Unggah aplkasi X karena banyak konten DEWASA,5
semangat,5
AKUN AKU LOGOUT SENDIRI PADAHAL GAPERNAH LOGOUT. LALU SELALU DISURUH LOGIN SAMPE AKU HARUS LOGIN 5X TAPI GABISA MASUK. please ya makin kesini jangan makin dibawa ribet untuk X diperbaiki lagi capek juga lama2 harus selalu login berulang kali,1
bagus,5
Kenapa saya tidak bisa apdet aplikasinya yaa,1
Baik,5
Luar biasa,5
Menyajikan info2 yg update dr berbagai pandangan...👍,5
Sangat bagus,5
Good,5
Luar biasa menyajikan segala informasi dan pengetahuan.,5
Mantap,4
Bermanfaat dapet informasi,5
Ok,5
convert you time to BTC or usd,5
Ok,5
Makin lemot anj,1
"Akunku terus terusan kena limit terus, teruss akun sebelumnya kena suspend, padahal ga ada ngelanggar aturan apapun huft",3
The best platform,5
Aplikasi apa ini tidak bisa login,1
Luar biasa🤙,5
Seperti orang2 rasakan,5
Saya seneng banget,5
nice,5
Tdk ada aplikasi ni,5
"aku sedih karna apk ini aku buka, kebanyakan video porno aku malu dengan Allah",1
Cukup memuaskan,5
boleh di cba,5
"Tolong jangan kasih verifikasi, saya tidak mau ada verifikasi, saya mau seperti dulu lagi",1
"This app can't be installed, please fix it, if this is my mistake, please tell me how to fix it, I still have a lot of storage, and I was able to install this before",1
Ok,5
Padahal gak posting apa apa tapi di tangguhkan. Padahal cuma menyukai tetep aja di tangguhkan sudah 4x saya buat akun. Hanya karena ndak premium yg harus bayar tiap bulan jadi ditangguhkan. Kalau terus terusan kayak gini pengguna x ya pilih uninstal saja. Mengecewakan sekali,1
Good aps,5
Aplikasi social media yg mantap,5
Sekarang jadi jelek pokoknya jelek so bad👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻,4
Kerenn cuyy,5
Keren,5
Lumyan,1
Bagus,4
X nyaman sekali.,5
eror bug banyak,1
Gud,5
Serius !!!! .... ini niat gak sih bikin aplikasi?,1
"Tolong dong, jangan sikit sikit suspend.! Entah ngapain spe bisa d suspend.! Parah kali memang.!",1
kok susah di download ya,4
Ah makin kesini makin ga jelas banget,1
Baik,4
Good,5
Banyak bot,1
"Videonya sering banget berhenti berputar. Harus mulai ulang ponsel biar bekerja lagi, ngeselin.",4
MANTAN BRO 👍👍👍,5
mau login kok keterangannya ada kesalahan teknis?,1
waw,4
Dikit dikit di tangguhkan parah🙄,1
Bagus,5
Mantap,5
Akurat,5
Sangat informatif,5
CCD suka keluar sendiri,1
apk yg sangat membntuuntuk mengetahui sgla brita darii penjuru dunia,5
Hari ini Rabu 18-12-24 aplikasi ini bermasalah🤔,5
Lama-lama twiter susah d buka . Gk sprti fb . Tolong d prbaiki kualitas nya,1
Udah gak bener nih,5
"AKUN SAYA JARANG DIBUKA DAN TIDAK YG ANEH"" DI AKUN SAYA MALAH DIBLOKIR PERMANEN! KAN TOLOL",1
Mantapppp,5
"banyak bug banyak video di blocking dan ""maaf kesalahan teknis""",1
Aplikasi yang sangat bagus,4
